0	62
10	44
20	73
30	43
40	22
50	57
60	133
70	76
80	75
90	75
100	20
110	46
120	36
130	82
140	86
150	62
160	48
170	79
180	36
190	37
200	21
210	31
220	39
230	20
240	32
250	104
260	26
270	11
280	33
290	32
300	27
310	1
890	1
1130	1
1270	1
1280	1
1580	1
1990	2
2730	1
3120	1
3130	1
3160	1
3170	1
3360	1
3380	1
3410	1
4330	1
4680	1
4760	1
4770	1
4800	1
5080	1
5140	1
5160	1
5520	1
5540	2
5970	2
5980	1
5990	26
6000	53
6010	83
6020	48
6030	36
6040	21
6050	22
6060	46
6070	15
6080	45
6090	97
6100	25
6110	18
6120	36
6130	27
6140	46
6150	10
6160	6
6170	21
6180	7
6190	6
6200	6
6210	7
6220	14
6230	28
6240	21
6250	24
6260	8
6270	21
6280	28
6290	35
6300	38
6310	20
6320	31
6330	9
6340	35
6350	26
6360	20
6370	15
6380	7
6390	1
6400	11
6410	22
6420	14
6430	9
6440	4
6450	4
6460	17
6470	18
6480	20
6490	8
6500	17
6510	18
6520	6
6530	14
6540	18
6550	8
6560	10
6570	17
6580	16
6590	12
6600	21
6610	19
6620	19
6630	27
6640	29
6650	29
6660	13
6670	41
6680	28
6690	6
6700	17
6710	4
6720	10
6730	8
6740	11
6750	10
6760	6
6770	16
6780	22
6790	15
6800	23
6810	9
6820	7
6830	22
6840	22
6850	19
6860	11
6870	27
6880	24
6890	4
6900	9
6910	20
6920	17
6930	14
6940	8
6950	14
6960	24
6970	15
6980	12
6990	25
7000	6
7010	25
7020	9
7030	6
7040	6
7050	11
7060	8
7070	5
7080	4
7090	12
7100	17
7110	12
7120	15
7130	5
7140	4
7150	29
7160	7
7170	8
7180	4
7190	4
7200	6
7220	12
7230	8
7240	3
7250	10
7260	6
7270	5
7280	3
7290	6
7300	5
7310	3
7320	9
7330	10
7340	4
7350	12
7360	5
7370	7
7380	28
7390	11
7400	2
7410	4
7420	4
7430	18
7440	11
7450	5
7460	24
7470	20
7480	20
7490	5
7500	11
7510	6
7520	8
7530	8
7540	7
7560	9
7570	6
7580	8
7590	16
7600	6
7610	11
7620	5
7630	7
7640	6
7650	6
7660	4
7670	1
7680	10
7690	19
7700	7
7710	20
7720	9
7730	7
7740	7
7750	8
7760	11
7770	14
7780	23
7790	20
7800	10
7810	29
7820	9
7830	9
7840	15
7850	25
7860	24
7870	26
7880	23
7890	26
7900	15
7910	9
7920	15
7930	10
7940	20
7950	23
7960	9
7970	11
7980	16
7990	20
8000	4
8010	17
8020	22
8030	8
8040	9
8050	12
8060	20
8070	10
8080	11
8090	9
8100	15
8110	20
8120	8
8130	7
8140	33
8150	13
8160	18
8170	10
8180	15
8190	246
8200	313
8210	197
8220	111
8230	79
8240	33
8250	46
8260	88
8270	67
8280	79
8290	90
8300	134
8310	89
8320	98
8330	114
8340	85
8350	124
8360	78
8370	43
8380	85
8390	56
8400	26
8410	76
8420	67
8430	50
8440	35
8450	39
8460	53
8470	73
8480	124
8490	63
8500	62
8510	97
8520	83
8530	48
8540	68
8550	65
8560	81
8570	130
8580	71
8590	53
8600	51
8610	66
8620	70
8630	102
8640	45
8650	57
8660	83
8670	121
8680	80
8690	86
8700	102
8710	85
8720	80
8730	74
8740	82
8750	87
8760	99
8770	74
8780	66
8790	40
8800	40
8810	25
8820	46
8830	36
8840	66
8850	48
8860	107
8870	64
8880	71
8890	55
8900	57
8910	80
8920	63
8930	44
8940	45
8950	39
8960	83
8970	39
8980	70
8990	56
9000	58
9010	34
9020	18
9030	23
9040	30
9050	32
9060	25
9070	37
9080	30
9090	16
9100	39
9110	53
9120	10
9130	23
9140	71
9150	79
9160	66
9170	33
9180	45
9190	58
9200	88
9210	61
9220	40
9230	56
9240	91
9250	91
9260	78
9270	50
9280	96
9290	107
9300	42
9310	30
9320	18
9330	20
9340	32
9350	36
9360	31
9370	47
9380	68
9390	99
9400	44
9410	42
9420	34
9430	37
9440	61
9450	48
9460	50
9470	90
9480	80
9490	186
9500	60
9510	58
9520	57
9530	76
9540	47
9550	79
9560	34
9570	88
9580	96
9590	33
9600	54
9610	48
9620	64
9630	104
9640	85
9650	112
9660	91
9670	98
9680	88
9690	95
9700	80
9710	96
9720	68
9730	61
9740	80
9750	96
9760	86
9770	52
9780	99
9790	115
9800	59
9810	92
9820	59
9830	64
9840	98
9850	62
9860	37
9870	73
9880	139
9890	57
9900	93
9910	61
9920	58
9930	43
9940	35
9950	48
9960	15
9970	55
9980	58
9990	79
10000	45
10010	105
10020	45
10030	80
10040	95
10050	45
10060	24
10070	27
10080	31
10090	26
10100	21
10110	28
10120	8
10130	33
10140	21
10150	48
10160	29
10170	37
10180	34
10190	27
10200	13
10210	17
10220	21
10230	24
10240	56
10250	52
10260	38
10270	47
10280	56
10290	34
10300	49
10310	36
10320	126
10330	42
10340	14
10350	43
10360	31
10370	30
10380	82
10390	37
10400	24
10410	70
10420	160
10430	74
10440	38
10450	20
10460	97
10470	28
10480	19
10490	42
10500	42
10510	58
10520	85
10530	61
10540	62
10550	45
10560	66
10570	30
10580	65
10590	57
10600	65
10610	38
10620	51
10630	62
10640	43
10650	74
10660	18
10670	2
